Generation,AVG Score
1095,986.4298482430955
1100,986.8331820110798
1105,987.0359724133028
1110,986.4718901314642
1115,986.9472512719701
1120,987.478236036966
1125,986.0343476777404
1130,985.7885655226439
1135,986.5858020257731
1140,986.3467946472977
1145,987.5780516833265
1150,986.8557437958214
1155,986.2402305174288
1160,986.6639544583204
1165,986.3389098301692
1170,986.7096981863336
1175,986.9721756946756
1180,987.1481338712196
1185,987.5700488215016
1190,986.5736585100474
1195,986.8585694703277
1200,987.4534150569423
1205,986.5978632331964
1210,986.6095988033536
1215,986.51529997908
1220,986.9563053344154
1225,987.276016181532
1230,986.8848620213299
1235,986.9591978444926
1240,986.9808079498383
1245,986.9610302579437
1250,986.5402881595426
1255,987.6795266855245
1260,987.0992523097739
1265,986.6132342309302
1270,986.7713075601339
1275,986.4662862769322
1280,987.0943875614797
1285,986.5743911922291
1290,987.3484985691082
1295,987.059420835011
1300,986.9125408004253
1305,986.8904152265529
1310,987.2800954109678
1315,986.5729677897273
1320,987.6361857236707
1325,986.4434100419176
1330,986.512621681014
1335,987.1369084470996
1340,987.1606317315402
1345,986.6584616390649
1350,987.4850793092012
1355,987.0684844591273
1360,986.5717539316165
1365,987.1712193401978
1370,986.6540301150928
1375,987.0107583404263
1380,987.1224626914438
1385,987.2106557305235
1390,987.1437032855878
1395,985.8600823471388
1400,987.6517893110955
1405,987.1519232670432
1410,986.7032566554129
1415,987.7026816040423
1420,987.731487029156
1425,986.7012446226112
1430,987.7759999848291
1435,986.9627200771502
1440,986.8340187005563
1445,987.2427429295745
1450,987.2279378773841
1455,987.5697834196997
1460,987.9221039293013
1465,987.3650472899493
1470,987.9426974558797
1475,987.2822949110694
1480,986.8632109133805
1485,987.138746886035
1490,987.042749630839
1495,986.7495274004584
1500,986.9676645722808
1505,986.668213910128
1510,986.9947565872504
1515,987.0393575064138
1520,988.0591301741626
1525,987.5321425097429
1530,988.2979045746366
1535,987.276604389054
1540,987.7770123012357
1545,987.8852742914463
1550,987.949945394375
1555,987.6950258809195
1560,987.0222224333168
1565,986.9916795967372
1570,987.7933300150349
1575,987.003877814482
1580,988.0663226500095
1585,987.7329052177025
1590,987.0394931661689
1595,986.8243528829447
1600,987.2823019967169
1605,987.1827613151187
1610,986.8965382009116
1615,987.4795436743391
1620,988.049454793839
1625,987.9674524176598
1630,987.3955430752573
1635,987.1693320130228
1640,987.205168027077
1645,987.4830252894947
1650,987.7198572378269
1655,987.4657387115852
1660,987.5672279128364
1665,987.8085320244872
1670,987.7168270319492
1675,987.8104531195706
1680,987.1086934094461
1685,987.0467041959712
1690,987.5836640197313
1695,987.494749420231
1700,988.1418158268103
1705,987.5528495737187
1710,987.5193063066936
1715,987.4210523719933
1720,988.0232990327792
1725,987.4591204939148
1730,987.9054483568852
1735,988.0402658445013
1740,988.1342105624113
1745,987.5014580901512
1750,987.5091133387971
1755,987.8597693521955
1760,988.3352625935324
1765,987.4392075858019
1770,986.7433450153039
1775,987.7209580923263
1780,987.9522179453483
1785,987.6389773991411
1790,986.9970963937827
1795,987.7309567355509
1800,987.6299083359625
1805,987.6704822524989
1810,987.9182364840377
1815,988.3371309767253
1820,987.6527948824598
1825,987.8803319006327
1830,987.4688673150033
1835,987.5821863740332
1840,987.7458273853865
1845,987.6439376569431
1850,986.8440130676121
1855,987.6323610384081
1860,987.5212333509547
1865,987.8688657311286
1870,987.5630751278711
1875,987.3792143891645
1880,987.7670902249505
1885,988.0609854766324
1890,987.7913050941246
1895,988.3915424233404
1900,988.0395937000485
1905,988.2173611264052
1910,987.6208689633828
1915,987.8690885426986
1920,988.3170308499741
1925,987.9499251200984
1930,987.4029933676254
1935,987.5586760329492
1940,987.6815714625112
1945,987.930318269921
